CLAS physics database search results
Measurement E32M1
g10 CLAS experiment
Wei Chen
0

Egamma	theta	dsigma/dOmega	Data errors	Systematic errors
MeV	deg	mcb/srad	mcb/srad	mcb/srad
1050	37.5	4.399	0.50557	0.06715
1050	42.5	4.38286	0.50127	0.0449
1050	47.5	3.92712	0.4475	0.02407
1050	52.5	3.35671	0.3824	0.01902
1050	57.5	2.74496	0.31268	0.01519
1050	62.5	2.10129	0.23937	0.01201
1050	67.5	1.56887	0.17873	0.00905
1050	72.5	1.14455	0.13039	0.00675
1050	77.5	0.88963	0.10136	0.00546
1050	82.5	0.72813	0.08297	0.00485
1050	87.5	0.64199	0.07319	0.00468
1050	92.5	0.64528	0.07353	0.00428
1050	97.5	0.70415	0.08025	0.00475
1050	102.5	0.8597	0.09798	0.00558
1050	107.5	0.87589	0.09979	0.00542
1050	112.5	0.79348	0.09042	0.00506
1050	117.5	0.86911	0.09905	0.00568
1050	122.5	0.96373	0.10982	0.00633
1050	127.5	1.04554	0.11918	0.00769
1050	132.5	1.02087	0.11674	0.01239
1050	137.5	1.03146	0.11795	0.0116
1050	142.5	1.17218	0.13376	0.01028
1050	147.5	1.78567	0.20394	0.01783
1050	152.5	2.48237	0.28628	0.04683
1100	37.5	4.14182	0.47542	0.06017
1100	42.5	4.24223	0.48493	0.04288
1100	47.5	3.79917	0.43278	0.02284
1100	52.5	3.14884	0.3586	0.01755
1100	57.5	2.544	0.2897	0.01388
1100	62.5	1.96453	0.22373	0.01109
1100	67.5	1.44192	0.16421	0.0082
1100	72.5	1.07552	0.12249	0.00629
1100	77.5	0.82041	0.09344	0.00496
1100	82.5	0.67977	0.07743	0.00442
1100	87.5	0.58158	0.06628	0.00418
1100	92.5	0.5597	0.06376	0.0037
1100	97.5	0.59311	0.06758	0.004
1100	102.5	0.66949	0.07627	0.00429
1100	107.5	0.6761	0.07701	0.00417
1100	112.5	0.57138	0.06509	0.00368
1100	117.5	0.60113	0.06849	0.00402
1100	122.5	0.67507	0.07691	0.00453
1100	127.5	0.73833	0.08414	0.00541
1100	132.5	0.7772	0.08881	0.00897
1100	137.5	0.75167	0.086	0.00908
1100	142.5	0.88902	0.10143	0.00791
1100	147.5	1.35928	0.15518	0.01333
1100	152.5	1.95109	0.22448	0.03379
1150	37.5	3.94755	0.45349	0.06019
1150	42.5	3.8182	0.43666	0.04079
1150	47.5	3.4835	0.39691	0.02234
1150	52.5	2.91414	0.33195	0.01735
1150	57.5	2.31234	0.26338	0.0135
1150	62.5	1.73767	0.19793	0.01047
1150	67.5	1.29643	0.14768	0.00791
1150	72.5	0.98408	0.1121	0.00616
1150	77.5	0.76095	0.08669	0.00493
1150	82.5	0.61425	0.06999	0.00427
1150	87.5	0.53644	0.06115	0.00415
1150	92.5	0.50375	0.05741	0.00367
1150	97.5	0.48481	0.05526	0.00356
1150	102.5	0.51286	0.05845	0.0036
1150	107.5	0.47667	0.05431	0.00324
1150	112.5	0.39866	0.04543	0.00287
1150	117.5	0.38172	0.04352	0.0029
1150	122.5	0.44178	0.05036	0.00338
1150	127.5	0.5098	0.05812	0.0041
